id_tim,nama_tim,nim_pml,token
1,DENPASAR TIMUR 1,212112287,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz6
2,DENPASAR TIMUR 2,222112096,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz7
3,DENPASAR BARAT 1,222112224,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz8
4,DENPASAR TIMUR 3,222111902,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz9
5,DENPASAR BARAT 2,222112359,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz10
6,DENPASAR TIMUR 4,212112033,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz11
7,DENPASAR BARAT 3,222111908,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz12
8,DENPASAR BARAT 4,222112082,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz13
9,DENPASAR BARAT 5,212112134,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz14
10,DENPASAR BARAT 6,222111956,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz15
11,DENPASAR BARAT 7,222111947,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz16
12,DENPASAR BARAT 8,222112351,4TLcVqRIKqLvl0GoSvUpEe1lPXzMcCO1drydOCoqJ$1oD3is1KzPM2tk5zrwVQz17
